,cust,grade
9286,M310534008,General
9287,M310542986,General
9288,M310554542,General
9289,M310584729,General
9290,M310669409,General
9291,M310752428,General
9292,M310759604,General
9293,M310771378,VIP
9294,M310777263,General
9295,M310793578,General
9296,M310852438,General
9297,M310869589,General
9298,M310871292,General
9299,M310879031,General
9300,M310890033,General
9301,M310904948,General
9302,M310931673,General
9303,M311054868,MVG
9304,M311083133,General
9305,M311085649,General
9306,M311201219,General
9307,M311207551,General
9308,M311287857,General
9309,M311349584,VIP
9310,M311349886,General
9311,M311393364,General
9312,M311483791,General
9313,M311512034,General
9314,M311551288,VIP
9315,M311578182,General
9316,M311626438,General
9317,M311630747,General
9318,M311674426,General
9319,M311695964,General
9320,M311738593,General
9321,M311763114,General
9322,M311767562,General
9323,M311768185,General
9324,M311856624,General
9325,M311907816,VIP
9326,M311910395,VIP
9327,M311982027,General
9328,M312005744,VIP
9329,M312100245,VIP
9330,M312125666,MVG
9331,M312127414,General
9332,M312184391,General
9333,M312221789,General
9334,M312247707,General
9335,M312252882,General
9336,M312253636,General
9337,M312309210,General
9338,M312337194,LENITH
9339,M312362513,VIP
9340,M312383475,General
9341,M312394682,General
9342,M312410867,General
9343,M312422302,General
9344,M312429654,General
9345,M312447450,General
9346,M312464167,VIP
9347,M312700183,General
9348,M312760954,VIP
9349,M312789398,General
9350,M312831224,VIP
9351,M312865376,General
9352,M312892832,General
9353,M312955446,General
9354,M313034231,General
9355,M313089270,General
9356,M313094571,General
9357,M313114365,General
9358,M313126091,General
9359,M313154651,General
9360,M313161116,VIP
9361,M313260721,General
9362,M313271016,General
9363,M313298368,General
9364,M313325679,VIP
9365,M313386075,VIP
9366,M313452951,VIP
9367,M313486584,General
9368,M313488284,General
9369,M313525769,General
9370,M313532407,VIP
9371,M313602681,General
9372,M313625515,VIP
9373,M313632663,General
9374,M313667502,VIP
9375,M313672390,General
9376,M313682753,General
9377,M313729638,VIP
9378,M313741703,General
9379,M313759761,VIP
9380,M313772412,General
9381,M313778977,General
9382,M313824554,General
9383,M313940224,General
9384,M313955667,General
9385,M313973040,General
9386,M313976783,General
9387,M313991018,VIP
9388,M314103750,General
9389,M314112306,General
9390,M314120355,General
9391,M314156725,General
9392,M314286490,General
9393,M314392024,General
9394,M314424191,General
9395,M314475940,VIP
9396,M314557532,General
9397,M314568411,General
9398,M314672361,General
9399,M314720971,General
9400,M314733533,General
9401,M314794317,General
9402,M314940965,General
9403,M315019444,General
9404,M315117122,General
9405,M315140364,General
9406,M315206393,General
9407,M315212599,General
9408,M315229993,VIP
9409,M315259748,VIP
9410,M315291402,General
9411,M315360471,General
9412,M315373544,General
9413,M315502034,General
9414,M315572773,General
9415,M315614864,General
9416,M315630689,General
9417,M315656623,General
9418,M315665222,General
9419,M315728274,General
9420,M315762123,General
9421,M315773991,General
9422,M315821279,General
9423,M315863520,General
9424,M315877346,General
9425,M315886613,General
9426,M315943865,VIP
9427,M315988868,VIP
9428,M315992788,General
9429,M316000354,General
9430,M316005704,VIP
9431,M316013304,General
9432,M316030973,General
9433,M316060325,General
9434,M316093156,General
9435,M316099984,VIP
9436,M316111200,General
9437,M316114583,General
9438,M316171414,General
9439,M316172133,General
9440,M316257241,General
9441,M316296461,General
9442,M316365590,General
9443,M316371481,General
9444,M316420692,General
9445,M316442741,General
9446,M316453589,General
9447,M316481461,General
9448,M316503189,General
9449,M316548775,VIP
9450,M316585475,General
9451,M316595391,General
9452,M316688229,General
9453,M316729912,General
9454,M316900455,General
9455,M316916825,General
9456,M316929703,General
9457,M316933237,General
9458,M316949570,General
9459,M316965370,VIP
9460,M317006714,General
9461,M317026243,General
9462,M317067272,General
9463,M317074363,General
9464,M317144228,VIP
9465,M317147935,General
9466,M317185587,General
9467,M317199016,VIP
9468,M317217561,General
9469,M317243878,General
9470,M317318928,General
9471,M317338389,General
9472,M317405932,VIP
9473,M317409381,General
9474,M317416678,General
9475,M317423966,General
9476,M317470114,VIP
9477,M317511746,General
9478,M317515254,General
9479,M317579045,VIP
9480,M317593440,General
9481,M317597846,General
9482,M317683714,General
9483,M317697839,General
9484,M317778161,VIP
9485,M317780193,General
9486,M317815845,General
9487,M317817105,General
9488,M317849762,VIP
9489,M317852652,General
9490,M317887063,General
9491,M317916211,General
9492,M317962727,VIP
9493,M318041837,VIP
9494,M318082150,VIP
9495,M318149507,General
9496,M318204051,VIP
9497,M318231204,General
9498,M318249295,General
9499,M318251692,General
9500,M318258663,General
9501,M318266980,General
9502,M318295202,General
9503,M318301166,General
9504,M318396188,General
9505,M318434546,VIP
9506,M318489269,General
9507,M318501345,General
9508,M318543286,VIP
9509,M318544745,General
9510,M318576707,General
9511,M318582448,VIP
9512,M318589252,General
9513,M318640944,General
9514,M318648083,General
9515,M318681530,VIP
9516,M318682461,General
9517,M318708537,General
9518,M318746298,General
9519,M318747485,General
9520,M318747977,General
9521,M318760015,General
9522,M318802112,VIP
9523,M318825849,General
9524,M318851307,MVG
9525,M318866238,General
9526,M318886202,General
9527,M318888511,General
9528,M318907428,General
9529,M318932957,General
9530,M318936920,General
9531,M318956605,General
9532,M318976223,General
9533,M319021075,General
9534,M319027655,General
9535,M319208631,General
9536,M319217755,General
9537,M319227400,General
9538,M319256712,VIP
9539,M319304167,General
9540,M319396775,General
9541,M319444852,General
9542,M319447873,General
9543,M319511826,General
9544,M319582586,General
9545,M319629964,General
9546,M319671365,General
9547,M319672173,General
9548,M319712317,General
9549,M319716081,General
9550,M319762980,General
9551,M319830779,General
9552,M319855640,General
9553,M319930340,LENITH
9554,M319952639,General
9555,M319962200,VIP
9556,M320170691,VIP
9557,M320180610,General
9558,M320192165,VIP
9559,M320200378,General
9560,M320221756,General
9561,M320242251,General
9562,M320245107,General
9563,M320259635,General
9564,M320266492,General
9565,M320274463,General
9566,M320278616,General
9567,M320288174,General
9568,M320333767,General
9569,M320340974,General
9570,M320348941,General
9571,M320355671,VIP
9572,M320366214,General
9573,M320369102,VIP
9574,M320398100,General
9575,M320421863,General
9576,M320474582,General
9577,M320478742,General
9578,M320482567,General
9579,M320504719,MVG
9580,M320538448,General
9581,M320578473,VIP
9582,M320624057,General
9583,M320645751,VIP
9584,M320684237,General
9585,M320795128,General
9586,M320839085,General
9587,M320905913,General
9588,M320952979,General
9589,M320959723,General
9590,M320972555,General
9591,M321012544,General
9592,M321081949,General
9593,M321086382,General
9594,M321104982,General
9595,M321124022,General
9596,M321132897,General
9597,M321155887,VIP
9598,M321170502,VIP
9599,M321230803,General
9600,M321234091,General
9601,M321234098,General
9602,M321237929,VIP
9603,M321256020,VIP
9604,M321261599,General
9605,M321331060,MVG
9606,M321355386,General
9607,M321360816,General
9608,M321378195,General
9609,M321378546,General
9610,M321406719,General
9611,M321408439,General
9612,M321412460,General
9613,M321458360,General
9614,M321458946,General
9615,M321489284,General
9616,M321497306,VIP
9617,M321512476,General
9618,M321540232,General
9619,M321545775,General
9620,M321560058,General
9621,M321567885,General
9622,M321580125,General
9623,M321580932,VIP
9624,M321614034,General
9625,M321629381,General
9626,M321652667,General
9627,M321722540,General
9628,M321725725,General
9629,M321739504,General
9630,M321763286,General
9631,M321820340,VIP
9632,M321838718,General
9633,M321883421,General
9634,M321922863,MVG
9635,M321959073,General
9636,M321971552,General
9637,M322022701,General
9638,M322041565,General
9639,M322115744,General
9640,M322123494,VIP
9641,M322128243,General
9642,M322153853,General
9643,M322171962,General
9644,M322186605,General
9645,M322256849,General
9646,M322269123,General
9647,M322272032,General
9648,M322302645,General
9649,M322349359,General
9650,M322391036,General
9651,M322400539,General
9652,M322402534,General
9653,M322404724,General
9654,M322407438,General
9655,M322484393,General
9656,M322639302,General
9657,M322687277,General
9658,M322697741,VIP
9659,M322741023,General
9660,M322748032,MVG
9661,M322748819,VIP
9662,M322791042,General
9663,M322791753,General
9664,M322823090,General
9665,M322827955,General
9666,M322829657,VIP
9667,M322857864,General
9668,M322867689,General
9669,M322887015,General
9670,M322955906,General
9671,M322961163,General
9672,M322969422,General
9673,M322987922,General
9674,M323029767,VIP
9675,M323062130,General
9676,M323086466,VIP
9677,M323141564,General
9678,M323179777,General
9679,M323181973,General
9680,M323192018,General
9681,M323248516,General
9682,M323248733,VIP
9683,M323283612,General
9684,M323293457,General
9685,M323325062,General
9686,M323341319,General
9687,M323414624,General
9688,M323478230,General
9689,M323527454,VIP
9690,M323534950,VIP
9691,M323552275,General
9692,M323573864,General
9693,M323616339,General
9694,M323702255,General
9695,M323773246,MVG
9696,M323780056,General
9697,M323820517,General
9698,M323856995,General
9699,M323874785,General
9700,M323898174,General
9701,M323904777,General
9702,M323909309,General
9703,M323942409,General
9704,M323992447,General
9705,M324024929,General
9706,M324060558,General
9707,M324114257,General
9708,M324161574,General
9709,M324254958,VIP
9710,M324260086,General
9711,M324269764,General
9712,M324330159,General
9713,M324397906,General
9714,M324408612,General
9715,M324452563,General
9716,M324482167,General
9717,M324501877,VIP
9718,M324501961,VIP
9719,M324530769,General
9720,M324545031,General
9721,M324640589,General
9722,M324667472,General
9723,M324745715,General
9724,M324778650,VIP
9725,M324801261,General
9726,M324826439,General
9727,M324850117,General
9728,M324851971,General
9729,M324896636,General
9730,M324974913,General
9731,M325174024,VIP
9732,M325185653,General
9733,M325194586,General
9734,M325250694,General
9735,M325309038,General
9736,M325371026,General
9737,M325473730,General
9738,M325527038,General
9739,M325594504,General
9740,M325626575,General
9741,M325658504,General
9742,M325661634,VIP
9743,M325680090,VIP
9744,M325687895,VIP
9745,M325695728,General
9746,M325753090,General
9747,M325756878,General
9748,M325773400,VIP
9749,M325787623,MVG
9750,M325791407,General
9751,M325797641,General
9752,M325857891,General
9753,M325866047,General
9754,M325964550,VIP
9755,M325986732,MVG
9756,M325988726,General
9757,M326027373,General
9758,M326053153,General
9759,M326088453,General
9760,M326092093,General
9761,M326107280,VIP
9762,M326115884,General
9763,M326147179,MVG
9764,M326169019,General
9765,M326256100,General
9766,M326257678,General
9767,M326341051,General
9768,M326432427,General
9769,M326433502,VIP
9770,M326503256,VIP
9771,M326557740,General
9772,M326567713,General
9773,M326576683,General
9774,M326612814,VIP
9775,M326639341,General
9776,M326659420,General
9777,M326659925,General
9778,M326669503,VIP
9779,M326686050,General
9780,M326735463,VIP
9781,M326779588,General
9782,M326835236,General
9783,M326845509,VIP
9784,M326891614,General
9785,M326939197,General
9786,M326961541,VIP
9787,M326979523,General
9788,M326984748,General
9789,M327032435,VIP
9790,M327062654,General
9791,M327062656,General
9792,M327112752,General
9793,M327138708,General
9794,M327167467,General
9795,M327182297,General
9796,M327240283,General
9797,M327328168,General
9798,M327347396,General
9799,M327415950,General
9800,M327416993,General
9801,M327440685,General
9802,M327445014,General
9803,M327471741,General
9804,M327481806,General
9805,M327578120,General
9806,M327588166,General
9807,M327601000,General
9808,M327660499,General
9809,M327684414,General
9810,M327707427,General
9811,M327719454,General
9812,M327728651,General
9813,M327743399,General
9814,M327828700,General
9815,M327829156,General
9816,M327856415,General
9817,M327887027,General
9818,M327935530,General
9819,M327949933,General
9820,M327989504,VIP
9821,M328012473,General
9822,M328049393,VIP
9823,M328068668,VIP
9824,M328077932,General
9825,M328088705,General
9826,M328103924,General
9827,M328214043,General
9828,M328299849,General
9829,M328309141,General
9830,M328345701,General
9831,M328356758,General
9832,M328371495,General
9833,M328491765,General
9834,M328541886,General
9835,M328651609,General
9836,M328657691,General
9837,M328677616,General
9838,M328765161,General
9839,M328827253,General
9840,M328833329,General
9841,M328875210,General
9842,M328901841,General
9843,M328937840,General
9844,M328962582,General
9845,M328972329,General
9846,M328981765,General
9847,M329061842,General
9848,M329062512,General
9849,M329110845,VIP
9850,M329162920,General
9851,M329243018,General
9852,M329251341,General
9853,M329294566,General
9854,M329379634,MVG
9855,M329388265,General
9856,M329421946,General
9857,M329433434,General
9858,M329450492,General
9859,M329479673,General
9860,M329481612,General
9861,M329500988,General
9862,M329501024,General
9863,M329575630,General
9864,M329626859,General
9865,M329659157,MVG
9866,M329669184,General
9867,M329687991,General
9868,M329707824,General
9869,M329712924,General
9870,M329823490,VIP
9871,M329827393,General
9872,M329832810,VIP
9873,M329852581,VIP
9874,M329862613,General
9875,M329883680,General
9876,M330016442,General
9877,M330022418,VIP
9878,M330037488,General
9879,M330039696,MVG
9880,M330042695,General
9881,M330075152,General
9882,M330125390,General
9883,M330126604,General
9884,M330197517,General
9885,M330204436,General
9886,M330258459,General
9887,M330268690,General
9888,M330274276,General
9889,M330277227,VIP
9890,M330326760,General
9891,M330335017,General
9892,M330336594,General
9893,M330354100,VIP
9894,M330411790,General
9895,M330434419,General
9896,M330436524,General
9897,M330499474,General
9898,M330503689,General
9899,M330505933,General
9900,M330508841,General
9901,M330519477,General
9902,M330564235,General
9903,M330588337,VIP
9904,M330594710,General
9905,M330678743,General
9906,M330687573,General
9907,M330717802,General
9908,M330719099,General
9909,M330792030,General
9910,M330798586,General
9911,M330874099,General
9912,M330927312,General
9913,M330936601,General
9914,M331053044,VIP
9915,M331062945,General
9916,M331163642,General
9917,M331253388,General
9918,M331333773,General
9919,M331400469,General
9920,M331425859,General
9921,M331443639,General
9922,M331445698,General
9923,M331453096,General
9924,M331468207,General
9925,M331473499,General
9926,M331484967,VIP
9927,M331544211,General
9928,M331599000,General
9929,M331609731,General
9930,M331610040,General
9931,M331844183,General
9932,M331847702,General
9933,M331860912,General
9934,M331876013,General
9935,M331915513,General
9936,M332082936,General
9937,M332133877,General
9938,M332205263,General
9939,M332241713,General
9940,M332250919,General
9941,M332271066,General
9942,M332312428,General
9943,M332323018,General
9944,M332352628,General
9945,M332364145,General
9946,M332368950,General
9947,M332411000,General
9948,M332429986,VIP
9949,M332456194,VIP
9950,M332480245,General
9951,M332487214,General
9952,M332499386,General
9953,M332511017,General
9954,M332516077,VIP
9955,M332539888,VIP
9956,M332584980,General
9957,M332585804,General
9958,M332596876,General
9959,M332634516,VIP
9960,M332648892,General
9961,M332691628,General
9962,M332711874,VIP
9963,M332712484,General
9964,M332788295,MVG
9965,M332832610,General
9966,M332836065,General
9967,M332839001,VIP
9968,M332877359,General
9969,M332881855,General
9970,M332887335,General
9971,M332889896,General
9972,M332890923,General
9973,M332914294,General
9974,M332917027,General
9975,M332922969,VIP
9976,M332927194,General
9977,M333092819,General
9978,M333112427,General
9979,M333123129,General
9980,M333194788,General
9981,M333197806,General
9982,M333198333,General
9983,M333198501,General
9984,M333198713,General
9985,M333233870,VIP
9986,M333288981,General
9987,M333291929,General
9988,M333307074,General
9989,M333342175,VIP
9990,M333346836,General
9991,M333370101,General
9992,M333379336,VIP
9993,M333380028,General
9994,M333436188,General
9995,M333444201,General
9996,M333445476,General
9997,M333498086,VIP
9998,M333504489,General
9999,M333553644,General
10000,M333560535,General
10001,M333565427,General
10002,M333605607,General
10003,M333647938,General
10004,M333652767,General
10005,M333656285,General
10006,M333687674,General
10007,M333701951,General
10008,M333717065,General
10009,M333732326,General
10010,M333752894,General
10011,M333786268,General
10012,M333788684,General
10013,M333861551,General
10014,M333907945,General
10015,M333915300,VIP
10016,M333976286,VIP
10017,M333988635,General
10018,M334059866,VIP
10019,M334060033,General
10020,M334081804,General
10021,M334082344,General
10022,M334090349,General
10023,M334205637,VIP
10024,M334206058,General
10025,M334222357,General
10026,M334235944,General
10027,M334236061,General
10028,M334259476,General
10029,M334265760,General
10030,M334401643,General
10031,M334488161,VIP
10032,M334512823,General
10033,M334525122,General
10034,M334609042,General
10035,M334637120,General
10036,M334666789,General
10037,M334669996,General
10038,M334677481,General
10039,M334729647,VIP
10040,M334732359,General
10041,M334759509,General
10042,M334797647,General
10043,M334797900,General
10044,M334817238,General
10045,M334832110,General
10046,M334854286,General
10047,M334863334,MVG
10048,M334865422,General
10049,M334869799,General
10050,M334871090,VIP
10051,M334899227,General
10052,M334908444,General
10053,M334924365,General
10054,M334943764,General
10055,M334945280,General
10056,M335081704,General
10057,M335090969,VIP
10058,M335168883,General
10059,M335179512,General
10060,M335214490,VIP
10061,M335230847,General
10062,M335245808,VIP
10063,M335252412,General
10064,M335256017,General
10065,M335302260,VIP
10066,M335369759,VIP
10067,M335406044,General
10068,M335429714,General
10069,M335472022,General
10070,M335532034,General
10071,M335563734,General
10072,M335629251,General
10073,M335659982,General
10074,M335670774,General
10075,M335720814,General
10076,M335775254,General
10077,M335794171,General
10078,M335821803,General
10079,M335873838,General
10080,M335899740,General
10081,M335956217,General
10082,M335956972,General
10083,M336008672,VIP
10084,M336041315,General
10085,M336074690,MVG
10086,M336085629,General
10087,M336113491,General
10088,M336141132,VIP
10089,M336150899,General
10090,M336158522,General
10091,M336163343,General
10092,M336197685,General
10093,M336199109,General
10094,M336217090,General
10095,M336291170,General
10096,M336304029,General
10097,M336305857,General
10098,M336322870,General
10099,M336354333,General
10100,M336360825,General
10101,M336412819,General
10102,M336435555,General
10103,M336450868,General
10104,M336525918,General
10105,M336552637,General
10106,M336590436,General
10107,M336691011,General
10108,M336749538,General
10109,M336761426,General
10110,M336770870,General
10111,M336831476,VIP
10112,M336840929,General
10113,M336865284,General
10114,M336874833,General
10115,M336889685,General
10116,M336913846,General
10117,M336933607,VIP
10118,M336988853,VIP
10119,M337059741,General
10120,M337077670,VIP
10121,M337079549,General
10122,M337088453,General
10123,M337159616,LENITH
10124,M337168659,General
10125,M337197421,General
10126,M337267505,General
10127,M337317060,General
10128,M337386629,VIP
10129,M337397015,VIP
10130,M337414355,General
10131,M337467407,General
10132,M337482533,VIP
10133,M337519820,General
10134,M337535912,VIP
10135,M337582887,General
10136,M337605748,General
10137,M337673514,General
10138,M337707987,General
10139,M337741326,General
10140,M337793768,General
10141,M337818555,General
10142,M337855260,General
10143,M337860819,General
10144,M337866299,General
10145,M337965056,General
10146,M337978312,General
10147,M338004356,General
10148,M338026038,VIP
10149,M338027051,General
10150,M338118024,General
10151,M338196230,General
10152,M338214284,VIP
10153,M338226804,VIP
10154,M338243107,LENITH
10155,M338274657,General
10156,M338286826,General
10157,M338310215,General
10158,M338319134,General
10159,M338350592,General
10160,M338373214,General
10161,M338379710,General
10162,M338389343,General
10163,M338471804,VIP
10164,M338472318,General
10165,M338500249,General
10166,M338515890,General
10167,M338525329,General
10168,M338602498,General
10169,M338616594,General
10170,M338655116,General
10171,M338660373,General
10172,M338661359,VIP
10173,M338721841,General
10174,M338738385,General
10175,M338779776,General
10176,M338799838,General
10177,M338839554,General
10178,M338910875,General
10179,M338937486,General
10180,M338966166,General
10181,M339003270,General
10182,M339016071,General
10183,M339112380,VIP
10184,M339158251,General
10185,M339163367,General
10186,M339210788,General
10187,M339249679,General
10188,M339253117,General
10189,M339303748,VIP
10190,M339304431,General
10191,M339321183,General
10192,M339345739,General
10193,M339355690,General
10194,M339407607,General
10195,M339485629,General
10196,M339499678,VIP
10197,M339551391,General
10198,M339552715,General
10199,M339589882,General
10200,M339658750,General
10201,M339685490,General
10202,M339724251,General
10203,M339735821,General
10204,M339766499,VIP
10205,M339890744,General
10206,M339926048,VIP
10207,M339930817,MVG
10208,M339950075,General
10209,M339965073,General
10210,M339986474,VIP
10211,M339996343,General
10212,M340004418,General
10213,M340011301,General
10214,M340062179,VIP
10215,M340064166,General
10216,M340102050,General
10217,M340225579,General
10218,M340231155,General
10219,M340277529,General
10220,M340278767,MVG
10221,M340285445,General
10222,M340357894,General
10223,M340378964,MVG
10224,M340401542,MVG
10225,M340446580,General
10226,M340473008,General
10227,M340487258,General
10228,M340528859,General
10229,M340616764,General
10230,M340646331,General
10231,M340658249,VIP
10232,M340696040,General
10233,M340823796,VIP
10234,M340834945,General
10235,M340859617,General
10236,M340862964,General
10237,M340864347,VIP
10238,M340871006,General
10239,M340910296,General
10240,M340919392,General
10241,M340954582,VIP
10242,M340966125,General
10243,M341003277,General
10244,M341107536,General
10245,M341129114,General
10246,M341129212,VIP
10247,M341163856,General
10248,M341184313,MVG
10249,M341197337,VIP
10250,M341260052,General
10251,M341291234,General
10252,M341324085,General
10253,M341374425,General
10254,M341397025,General
10255,M341404371,General
10256,M341466463,General
10257,M341575742,General
10258,M341594102,General
10259,M341602420,General
10260,M341605232,General
10261,M341608031,General
10262,M341646704,General
10263,M341664647,General
10264,M341730357,General
10265,M341738949,General
10266,M341750834,General
10267,M341765246,General
10268,M341914413,General
10269,M341921132,General
10270,M341928609,General
10271,M341959878,General
10272,M342024716,General
10273,M342032973,General
10274,M342134209,General
10275,M342162623,General
10276,M342233916,General
10277,M342250170,General
10278,M342276582,General
10279,M342324356,General
10280,M342338249,VIP
10281,M342394078,General
10282,M342474894,VIP
10283,M342486646,General
10284,M342500773,MVG
10285,M342508479,VIP
10286,M342537676,General
10287,M342569692,General
10288,M342634161,General
10289,M342642578,General
10290,M342643098,General
10291,M342654736,General
10292,M342689927,General
10293,M342748126,General
10294,M342802797,General
10295,M342833058,General
10296,M342895475,VIP
10297,M342901582,General
10298,M342931213,General
10299,M342949359,General
10300,M342962951,General
10301,M342968577,General
10302,M343031824,General
10303,M343058103,VIP
10304,M343078649,VIP
10305,M343114120,General
10306,M343119089,General
10307,M343235503,VIP
10308,M343239155,VIP
10309,M343254660,General
10310,M343264688,LENITH
10311,M343283098,General
10312,M343295622,General
10313,M343307255,General
10314,M343330247,General
10315,M343438288,MVG
10316,M343446260,General
10317,M343559345,General
10318,M343578868,General
10319,M343589909,General
10320,M343601809,General
10321,M343658137,General
10322,M343659173,General
10323,M343703411,General
10324,M343707481,General
10325,M343719510,General
10326,M343760405,General
10327,M343793983,VIP
10328,M343818925,General
10329,M343835312,General
10330,M344011246,VIP
10331,M344019139,General
10332,M344021442,General
10333,M344024803,MVG
10334,M344035588,General
10335,M344109726,General
10336,M344111066,General
10337,M344129674,General
10338,M344130541,General
10339,M344167920,General
10340,M344192900,General
10341,M344255126,General
10342,M344260537,General
10343,M344411487,General
10344,M344424019,VIP
10345,M344440393,General
10346,M344477914,General
10347,M344499611,VIP
10348,M344584010,General
10349,M344621103,VIP
10350,M344621943,General
10351,M344645501,General
10352,M344696163,General
10353,M344723870,General
10354,M344774747,General
10355,M344898652,General
10356,M344903307,General
10357,M344980753,General
10358,M345043879,General
10359,M345123039,General
10360,M345159058,General
10361,M345190708,General
10362,M345191599,General
10363,M345226333,VIP
10364,M345243951,VIP
10365,M345272403,General
10366,M345274879,General
10367,M345278803,General
10368,M345313454,General
10369,M345330524,General
10370,M345345456,MVG
10371,M345365044,VIP
10372,M345375852,General
10373,M345428648,VIP
10374,M345429608,General
10375,M345452157,General
10376,M345482193,General
10377,M345502333,LENITH
10378,M345560760,General
10379,M345588612,General
10380,M345592032,VIP
10381,M345655069,General
10382,M345683804,General
10383,M345718501,General
10384,M345758349,VIP
10385,M345824240,General
10386,M345836433,General
10387,M345841186,General
10388,M345885861,General
10389,M345889784,General
10390,M345974313,General
10391,M346038350,General
10392,M346079172,General
10393,M346079490,General
10394,M346111732,General
10395,M346122705,General
10396,M346130701,General
10397,M346185476,General
10398,M346201236,General
10399,M346224630,General
10400,M346282471,General
10401,M346306264,VIP
10402,M346307429,General
10403,M346312805,General
10404,M346327202,General
10405,M346356576,General
10406,M346358400,General
10407,M346447562,General
10408,M346469232,General
10409,M346472385,General
10410,M346473231,General
10411,M346478953,General
10412,M346479264,General
10413,M346483252,VIP
10414,M346497657,General
10415,M346498625,General
10416,M346569330,General
10417,M346576567,General
10418,M346612601,General
10419,M346622078,General
10420,M346671326,General
10421,M346810786,VIP
10422,M346860026,VIP
10423,M346871971,General
10424,M346885089,General
10425,M346898308,General
10426,M346900314,General
10427,M346988405,General
10428,M346997488,General
10429,M346999304,General
10430,M347013832,General
10431,M347019293,VIP
10432,M347031569,General
10433,M347043237,General
10434,M347062507,General
10435,M347098701,General
10436,M347102226,General
10437,M347112590,General
10438,M347124259,VIP
10439,M347124327,General
10440,M347139064,General
10441,M347178817,General
10442,M347205172,General
10443,M347227926,VIP
10444,M347260106,General
10445,M347266962,VIP
10446,M347283578,General
10447,M347440379,General
10448,M347468230,General
10449,M347475637,General
10450,M347478054,General
10451,M347493616,General
10452,M347526340,General
10453,M347646043,General
10454,M347646686,General
10455,M347665990,General
10456,M347669174,General
10457,M347693551,General
10458,M347707946,General
10459,M347765967,General
10460,M347773641,MVG
10461,M347779870,General
10462,M347787444,VIP
10463,M347817365,General
10464,M347826745,VIP
10465,M347840031,General
10466,M347949577,General
10467,M348021954,VIP
10468,M348026309,General
10469,M348034756,General
10470,M348056935,General
10471,M348131435,VIP
10472,M348134648,General
10473,M348264594,General
10474,M348273075,VIP
10475,M348276545,General
10476,M348319864,General
10477,M348340451,General
10478,M348359592,General
10479,M348452531,MVG
10480,M348472542,General
10481,M348544034,General
10482,M348550431,General
10483,M348624880,General
10484,M348649629,General
10485,M348703401,General
10486,M348720778,General
10487,M348744475,VIP
10488,M348796971,General
10489,M348833958,General
10490,M348865352,General
10491,M348902096,General
10492,M348922854,General
10493,M349025504,VIP
10494,M349057903,General
10495,M349096544,General
10496,M349123093,VIP
10497,M349129203,VIP
10498,M349139014,General
10499,M349167140,General
10500,M349176559,General
10501,M349181462,VIP
10502,M349186491,VIP
10503,M349198548,General
10504,M349201842,General
10505,M349254944,General
10506,M349257843,General
10507,M349264145,General
10508,M349322181,General
10509,M349334435,MVG
10510,M349361346,General
10511,M349367317,General
10512,M349369359,General
10513,M349408724,General
10514,M349420894,General
10515,M349445095,MVG
10516,M349497346,General
10517,M349519056,General
10518,M349534078,General
10519,M349678199,General
10520,M349723026,VIP
10521,M349738816,General
10522,M349749699,VIP
10523,M349829973,General
10524,M349845612,General
10525,M349877188,General
10526,M349893125,MVG
10527,M349901705,General
10528,M349902795,General
10529,M349920656,General
10530,M349920781,General
10531,M349980167,General
10532,M349981389,General
10533,M350004496,General
10534,M350265349,General
10535,M350267678,General
10536,M350305735,General
10537,M350339914,General
10538,M350364202,General
10539,M350494217,General
10540,M350530801,General
10541,M350558474,General
10542,M350598563,General
10543,M350602030,General
10544,M350619034,General
10545,M350623290,VIP
10546,M350725409,General
10547,M350774273,General
10548,M350789970,General
10549,M350791941,General
10550,M350827799,General
10551,M350834227,General
10552,M350838042,General
10553,M350933147,General
10554,M351012792,VIP
10555,M351035350,General
10556,M351049268,VIP
10557,M351066550,General
10558,M351144406,VIP
10559,M351203416,VIP
10560,M351285223,General
10561,M351333891,General
10562,M351369415,General
10563,M351374691,MVG
10564,M351376486,General
10565,M351420070,General
10566,M351485001,General
10567,M351487683,General
10568,M351493355,General
10569,M351497330,General
10570,M351498292,MVG
10571,M351505757,General
10572,M351511587,General
10573,M351658282,General
10574,M351693333,General
10575,M351714862,General
10576,M351721151,General
10577,M351753367,VIP
10578,M351758648,VIP
10579,M351828806,General
10580,M351842660,General
10581,M351859074,VIP
10582,M351899061,General
10583,M351930705,General
10584,M352077656,General
10585,M352111262,VIP
10586,M352195696,General
10587,M352209339,General
10588,M352211529,General
10589,M352217309,General
10590,M352223412,General
10591,M352294723,VIP
10592,M352345008,General
10593,M352369142,VIP
10594,M352407020,General
10595,M352414457,MVG
10596,M352425572,VIP
10597,M352506128,General
10598,M352519130,MVG
10599,M352527753,General
10600,M352563116,General
10601,M352652907,General
10602,M352686609,General
10603,M352705750,General
10604,M352733191,General
10605,M352782779,VIP
10606,M352793574,General
10607,M352842095,General
10608,M352887870,General
10609,M352925752,General
10610,M352928788,General
10611,M352978912,LENITH
10612,M353018376,VIP
10613,M353099645,General
10614,M353126193,General
10615,M353224423,General
10616,M353276623,General
10617,M353356188,VIP
10618,M353365450,VIP
10619,M353392651,General
10620,M353463732,General
10621,M353481598,General
10622,M353575019,General
10623,M353578422,General
10624,M353578957,VIP
10625,M353590039,General
10626,M353647827,General
10627,M353729805,General
10628,M353755112,General
10629,M353760936,General
10630,M353769162,General
10631,M353781238,General
10632,M353795775,VIP
