cust,ma_fem_dv,ages,zon_hlv,grade
M065151598,0,2,16,MVG-Ace
M065182097,1,0,16,General
M065263825,0,1,10,General
M065308498,0,0,11,VIP+
M065342499,0,3,17,General
M065345065,1,2,17,General
M065347983,1,1,1,General
M065411999,0,4,10,General
M065425567,0,2,10,General
M065426537,0,3,17,General
M065471854,1,1,4,General
M065507164,0,1,10,General
M065520837,1,1,17,General
M065520915,0,3,10,General
M065564990,0,2,11,General
M065570703,1,4,10,General
M065592983,0,1,10,General
M065653793,1,3,6,General
M065671449,0,1,14,General
M065710967,1,1,13,General
M065761687,0,2,17,VIP+
M065822382,1,2,10,General
M065887840,1,2,14,General
M065890848,0,2,4,MVG-Ace
M065905599,1,3,17,VIP
M065930386,0,3,1,General
M065959253,0,3,17,General
M065960799,1,3,4,General
M066035437,0,2,12,VIP+
M066071224,0,1,17,General
M066074537,1,3,12,General
M066100206,0,1,13,General
M066137704,0,0,16,General
M066189408,0,1,16,General
M066226671,0,2,11,General
M066356663,0,3,10,VIP
M066402779,0,0,10,MVG-Ace
M066416187,0,2,16,General
M066475944,0,2,16,General
M066484209,1,1,15,General
M066502241,0,2,14,General
M066585801,1,4,17,General
M066589244,0,3,12,General
M066590295,0,4,10,General
M066601103,1,1,17,General
M066611710,0,2,10,General
M066637959,0,3,17,General
M066648359,0,2,17,General
M066706672,0,1,14,General
M066706943,1,2,17,General
M066753941,0,3,17,General
M066784687,0,3,10,General
M066850059,0,2,16,General
M066917527,0,2,6,General
M066961821,0,1,16,General
M066971315,0,0,11,General
M067055977,0,2,17,General
M067077410,0,1,8,VIP
M067116438,0,4,4,VIP+
M067167944,1,3,16,MVG-Ace
M067242911,1,1,10,General
M067284445,0,1,8,General
M067367346,0,1,5,VIP+
M067382495,1,0,10,General
M067388432,0,1,10,General
M067496639,0,2,10,MVG-Crown
M067540178,0,3,10,VIP
M067573282,0,2,8,General
M067622646,0,0,11,General
M067625705,1,1,17,General
M067631317,0,2,11,General
M067640250,0,5,4,General
M067642135,0,2,10,General
M067651699,1,1,17,General
M067717039,0,1,17,General
M067732882,0,2,17,VIP
M067787111,0,1,10,General
M067807588,0,2,10,General
M067853292,0,0,10,General
M067915448,0,3,17,VIP
M067967269,1,0,16,General
M068021893,0,1,17,General
M068111021,1,1,10,General
M068162370,0,4,6,General
M068163474,1,1,6,VIP
M068179466,1,3,8,General
M068291615,0,3,11,General
M068426492,0,1,10,General
M068434340,1,3,10,General
M068479395,1,0,11,General
M068633282,0,1,8,General
M068649228,0,1,17,General
M068668114,0,4,17,General
M068686669,0,1,4,General
M068815073,1,1,17,General
M068851846,1,5,17,General
M068881816,1,2,10,General
M068916153,1,3,10,General
M068944376,1,1,9,VIP
M069005765,1,1,11,General
M069013086,0,0,6,General
M069050417,0,3,17,General
M069081738,0,1,10,General
M069103585,1,1,10,General
M069168446,1,1,10,General
M069201464,0,1,10,General
M069211580,1,3,16,General
M069274206,0,3,17,VIP+
M069407493,0,0,4,General
M069463267,1,2,10,VIP
M069552338,0,1,16,General
M069576817,0,2,10,General
M069740165,0,2,4,VIP
M069834408,0,1,6,General
M069844485,0,3,11,MVG-Ace
M069853900,1,2,12,General
M069938388,0,0,11,General
M069947418,0,2,15,General
M069998004,0,3,16,General
M070016533,0,1,16,VIP
M070025637,1,2,17,General
M070032847,0,3,10,General
M070050055,0,2,17,MVG-Ace
M070053287,0,2,15,General
M070088318,1,1,14,General
M070117842,0,1,16,General
M070227481,1,2,10,General
M070231934,0,3,10,General
M070233515,0,0,16,General
M070295890,0,3,17,VIP+
M070399287,1,0,17,General
M070405701,0,5,11,General
M070427875,0,1,17,General
M070473246,0,3,10,General
M070490129,1,4,12,General
M070509529,0,0,17,General
M070544564,0,2,17,VIP+
M070620817,0,1,10,General
M070659590,0,3,10,General
M070674314,0,3,10,General
M070710946,0,2,9,General
M070712845,1,4,17,General
M070734453,1,4,17,General
M070750794,0,0,16,General
M070772233,1,1,12,General
M070774742,0,1,17,VIP
M070840596,0,1,14,MVG-Ace
M070862793,0,3,17,General
M070868380,1,3,17,General
M070909414,0,1,17,General
M071001639,0,0,13,General
M071039445,0,2,17,General
M071099613,1,2,10,General
M071121776,0,1,17,VIP+
M071136931,0,1,11,General
M071273003,1,4,17,General
M071348622,1,1,12,General
M071425384,0,1,17,General
M071617022,0,5,10,General
M071628937,1,1,3,General
M071683972,0,1,6,MVG-Ace
M071727740,0,1,7,General
M071854310,0,2,17,General
M071908843,0,2,5,General
M071917388,0,1,5,VIP+
M071944846,1,2,4,General
M072005143,0,1,16,General
M072016570,0,2,12,General
M072055624,0,1,11,VIP
M072245597,0,2,17,General
M072264754,0,4,5,VIP+
M072280781,0,3,17,General
M072300498,0,1,10,General
M072304872,0,3,11,General
M072312130,0,1,12,General
M072396952,0,4,16,General
M072419092,0,1,14,General
M072443546,1,2,5,General
M072450416,0,1,17,General
M072459431,1,3,11,VIP
M072470090,0,2,10,General
M072470650,0,2,5,MVG-Ace
M072492261,1,3,7,General
M072526178,1,3,16,General
M072584937,0,1,13,General
M072625004,1,1,15,General
M072694328,1,3,11,VIP
M072738528,0,3,17,VIP
M072773031,0,3,10,General
M072825790,0,2,17,VIP+
M072865783,1,2,10,VIP
M072891449,0,0,4,General
M072945899,1,2,17,VIP
M072953358,1,1,17,General
M072994801,0,2,10,VIP
M073027406,0,2,12,VIP
M073046908,1,2,10,General
M073084995,0,0,17,General
M073088113,0,2,17,VIP+
M073140090,0,0,17,General
M073187078,0,3,10,General
M073191063,1,2,12,General
M073200766,1,1,8,General
M073215714,0,0,17,General
M073245873,0,2,16,General
M073325300,0,1,9,General
M073343355,1,1,10,General
M073345379,0,3,15,General
M073414442,0,4,10,General
M073553732,0,1,17,General
M073574798,0,2,10,General
M073630488,1,3,10,General
M073706123,1,5,4,General
M073736555,0,2,17,General
M073769237,1,3,17,VIP+
M073849468,0,3,17,General
M073855948,0,1,17,General
M073874461,1,2,16,General
M073970063,0,1,11,General
M074016193,0,2,17,MVG-Ace
M074025474,0,2,17,General
M074037399,1,2,10,General
M074170698,1,1,6,VIP
M074178981,0,4,17,VIP
M074258604,0,3,4,General
M074284820,1,2,10,General
M074294048,1,2,17,General
M074298510,0,2,10,General
M074334264,0,1,10,General
M074376184,0,2,17,VIP
M074379833,1,3,10,General
M074392291,0,0,10,MVG-Ace
M074395681,0,0,16,General
M074522086,1,2,16,VIP+
M074620514,1,2,11,General
M074623384,0,2,17,General
M074641402,0,2,17,General
M074669671,0,1,4,LENITH
M074740319,1,5,16,General
M074785277,0,5,17,General
M074786912,0,3,10,General
M074815596,1,1,17,General
M074834718,1,2,5,VIP
M074915400,0,3,16,VIP+
M074988599,0,2,5,VIP
M075037046,0,3,16,General
M075077630,0,3,10,General
M075183293,1,1,5,General
M075270205,0,5,17,General
M075339550,1,3,10,General
M075372136,0,2,10,VIP+
M075392188,0,1,11,MVG-Ace
M075409478,1,3,17,General
M075412001,1,3,10,General
M075450956,1,2,17,General
M075481641,0,3,10,VIP
M075483348,0,5,10,General
M075540635,0,5,10,General
M075575240,1,1,3,General
M075584360,0,1,17,VIP
M075594795,0,1,17,General
M075627808,1,1,17,VIP
M075635632,0,1,3,General
M075651214,1,1,16,VIP
M075676197,0,3,17,General
M075693769,0,2,10,General
M075705925,0,2,11,General
M075740108,0,2,17,General
M075783948,1,3,10,General
M075800437,0,3,6,General
M075859973,1,5,4,General
M075920444,0,2,10,General
M075971139,0,3,11,General
M075995202,0,2,10,LENITH
M075996146,1,2,17,General
M076147754,1,2,10,General
M076157838,1,2,11,General
M076192836,0,3,17,VIP+
M076227094,0,2,16,VIP
M076278121,0,4,10,General
M076340980,0,1,11,General
M076452320,0,1,4,VIP+
M076496984,0,3,17,VIP
M076529625,0,1,17,General
M076543111,1,2,16,MVG-Ace
M076585576,0,3,10,VIP
M076760186,0,1,16,General
M076780325,0,3,10,General
M076809249,0,2,10,General
M076975539,1,4,10,General
M076991493,0,3,17,General
M077067386,1,3,17,General
M077104923,1,2,17,General
M077113476,0,4,10,General
M077115002,0,1,10,General
M077172432,0,2,8,General
M077172954,0,2,17,General
M077181609,1,2,16,General
M077245318,0,2,10,VIP
M077304210,1,4,14,General
M077335426,0,1,4,General
M077345959,0,2,4,General
M077371923,1,2,10,General
M077412930,0,2,17,General
M077422919,0,3,10,General
M077484049,0,1,10,VIP
M077556073,1,1,10,General
M077576357,0,3,10,General
M077597870,0,2,10,General
M077601014,0,3,10,General
M077634084,1,2,10,General
M077638310,0,2,17,General
M077640485,0,2,10,General
M077650979,0,3,11,MVG-Ace
M077702613,0,2,10,VIP
M077726902,0,2,10,General
M077773377,0,4,14,General
M077780736,0,1,4,General
M077781609,0,0,10,General
M077793628,0,0,17,VIP
M077864603,0,0,10,General
M077888045,1,2,10,General
M077935258,0,1,6,General
M077939428,0,2,10,VIP+
M077939527,1,3,10,General
M077974783,0,3,7,General
M077981123,0,1,17,General
M077999733,0,1,11,General
M078002335,1,2,8,General
M078027392,0,2,10,VIP
M078036020,1,2,16,General
M078068796,1,2,8,General
M078076246,1,3,10,VIP+
M078130709,0,2,17,General
M078175257,1,1,4,VIP+
M078182213,0,3,4,General
M078213748,0,0,4,VIP
M078224920,0,0,9,General
M078243889,0,2,14,VIP+
M078341301,1,0,10,General
M078463151,1,1,10,General
M078483413,1,4,14,General
M078511517,1,3,17,VIP+
M078592424,0,1,6,General
M078634391,0,1,11,General
M078654583,0,2,11,General
M078754414,0,0,16,General
M078784644,0,3,10,General
M078842827,1,2,17,General
M078849586,1,3,9,General
M078908448,0,3,10,General
M078911228,1,2,10,General
M078940688,0,1,10,General
M078949112,0,3,16,General
M078975593,0,2,7,General
M078982709,0,1,11,General
M078993002,0,2,8,General
M079071961,1,1,12,General
M079128745,0,4,10,General
M079129672,0,1,10,General
M079208451,0,0,17,General
M079268443,0,2,15,General
M079424937,0,2,12,General
M079447347,0,3,9,General
M079483424,1,2,10,General
M079556420,0,2,10,General
M079586343,0,2,11,General
M079596385,0,5,16,General
M079647665,0,2,4,General
M079714009,0,1,14,General
M079725702,0,0,17,General
M079727103,0,2,17,General
M079802355,1,3,10,General
M079871485,1,2,17,General
M079913798,0,3,10,VIP+
M079915364,1,0,10,General
M079978488,0,4,16,VIP
M080009628,0,3,2,General
M080120952,0,1,16,VIP
M080141487,0,2,16,General
M080187374,1,3,17,General
M080205495,1,2,10,General
M080206245,0,2,17,General
M080251930,0,2,17,General
M080330806,1,3,13,General
M080355193,0,0,17,General
M080360563,1,2,10,General
M080492205,0,2,17,General
M080496907,0,2,10,General
M080513750,0,4,3,VIP+
M080547706,1,0,10,General
M080547961,0,3,13,General
M080548319,0,1,15,VIP
M080584695,0,1,17,General
M080607985,0,2,10,General
M080720090,0,2,17,VIP
M080745201,0,1,10,General
M080767058,0,0,10,General
M080813783,0,4,10,General
M080824166,0,2,13,General
M080847550,1,0,10,General
M080937262,0,2,4,General
M080976131,0,0,14,General
M081010742,1,2,10,VIP
M081033071,1,0,15,General
M081078897,1,2,10,General
M081112885,0,2,5,VIP
M081129758,0,1,10,General
M081173831,1,2,10,General
M081239002,0,1,17,General
M081488989,0,1,10,General
M081494913,0,2,10,General
M081509540,0,1,10,General
M081538949,1,3,14,General
M081556396,0,2,17,General
M081569058,0,2,10,General
M081673803,1,2,17,General
M081728324,1,1,10,General
M081740254,0,0,10,General
M081756873,0,2,4,LENITH
M081815859,0,2,17,MVG-Ace
M081882413,0,0,10,General
M081934118,0,1,9,General
M081995894,1,2,6,General
M082058519,1,3,10,General
M082060365,1,0,8,General
M082069526,0,4,5,General
M082088860,0,2,4,General
M082113177,1,2,10,General
M082128224,1,2,11,General
M082156179,1,2,17,General
M082282919,0,2,10,General
M082291259,0,5,17,General
M082305030,0,2,17,General
M082323914,1,2,16,VIP+
M082326053,1,0,10,General
M082341847,0,1,17,General
M082356814,1,2,17,General
M082381032,0,3,13,General
M082463855,1,2,10,General
M082506432,1,2,8,General
M082508454,0,2,16,MVG-Ace
M082574816,1,2,14,General
M082708983,0,1,17,VIP+
M082722148,1,1,10,General
M082807175,0,2,16,VIP+
M082810615,0,0,10,General
M082885513,1,0,10,General
M082905762,0,2,14,General
M082932410,1,3,10,General
M082967190,1,2,1,General
M083003957,0,3,16,VIP+
M083039032,0,2,17,General
M083058080,0,3,17,MVG-Crown
M083072018,1,2,11,General
M083089011,0,2,17,General
M083123736,0,3,17,General
M083173756,1,2,17,VIP+
M083234459,0,2,10,General
M083259271,0,1,5,General
M083270072,1,2,10,VIP
M083272047,0,2,13,General
M083283832,1,2,10,General
M083360626,1,4,15,General
M083387668,1,2,11,General
M083407122,1,3,17,General
M083432575,1,0,10,General
M083434555,1,1,10,General
M083441931,1,2,17,General
M083481697,1,4,16,General
M083482529,0,2,10,VIP
M083501198,1,4,10,General
M083535647,0,2,10,General
M083541392,0,3,11,General
M083576134,0,2,10,General
M083612455,1,1,10,VIP
M083617584,0,2,16,General
M083674830,0,2,14,VIP
M083765643,1,2,16,General
M083774716,0,3,17,General
M083778216,1,2,10,General
M083793358,1,3,9,General
M083821139,0,1,1,General
M083858719,1,0,10,General
M083915292,1,3,14,General
M083945841,0,3,10,General
M083998893,0,1,17,VIP+
M084009987,0,2,17,General
M084117436,0,2,5,VIP
M084165301,1,3,10,General
M084176281,0,2,4,VIP
M084304055,1,0,11,General
M084305321,0,3,10,General
M084405564,0,3,11,General
M084443240,0,3,10,General
M084446445,1,1,17,General
M084516911,0,3,17,General
M084562103,0,2,3,General
M084579404,0,3,4,General
M084579904,1,0,16,General
M084614967,1,2,17,VIP+
M084624556,1,1,17,General
M084675441,0,2,14,VIP
M084675578,1,4,10,General
M084719124,1,1,17,General
M084741790,0,3,14,General
M084842868,1,2,7,General
M084843553,0,4,17,General
M084859517,0,1,10,General
M084912993,0,0,11,General
M085020453,0,1,10,General
M085028626,0,1,17,General
M085041421,0,3,17,VIP
M085086229,0,4,17,General
M085150788,1,0,13,General
M085180481,0,2,17,General
M085237044,1,3,10,General
M085252209,1,2,12,General
M085261033,0,2,17,General
M085265637,0,2,17,General
M085428635,1,3,10,General
M085437322,1,2,17,VIP
M085451006,0,1,5,General
M085476796,0,3,17,General
M085532019,1,2,8,General
M085544188,0,2,17,VIP+
M085551978,0,0,15,General
M085665168,0,0,17,MVG-Ace
M085753940,0,1,10,VIP+
M085782518,0,2,10,General
M085817436,0,2,12,General
M085848274,0,2,16,General
M085854151,0,2,17,General
M085940929,0,1,12,General
M085985741,1,3,17,VIP
M086025320,1,2,10,General
M086027967,1,3,5,VIP+
M086044455,0,2,5,General
M086058292,0,1,17,General
M086097558,1,3,17,General
M086220851,0,5,17,General
M086307900,0,2,6,General
M086313501,0,1,17,General
M086384228,0,1,6,General
M086399732,0,1,10,General
M086496943,0,2,10,General
M086510587,1,2,17,General
M086541400,0,2,17,VIP+
M086594343,0,3,17,General
M086684903,0,2,11,General
M086692306,0,0,4,General
M086873927,0,3,17,General
M086878075,0,3,17,General
M086897227,1,3,17,General
M087089870,1,1,17,General
M087113312,0,0,1,General
M087117696,0,3,10,General
M087145824,0,3,4,General
M087205639,0,4,17,General
M087222061,0,0,13,General
M087235352,0,3,10,General
M087255823,0,2,10,General
M087286056,0,1,10,General
M087293063,0,3,13,General
M087300788,0,3,16,General
M087368635,0,3,10,VIP
M087421185,0,1,17,General
M087434208,0,1,10,General
M087455158,0,4,10,General
M087587972,0,2,4,General
M087622151,0,0,10,General
M087637262,1,2,8,General
M087661121,1,1,3,General
M087684896,0,2,5,General
M087693688,1,2,6,General
M087697083,0,2,17,General
M087710997,0,4,17,VIP
M087731158,0,1,11,General
M087775715,0,0,10,General
M087780557,1,0,16,MVG-Ace
M087860420,0,4,10,General
M087871279,0,0,10,General
M087988124,1,3,14,General
M087989070,0,2,10,General
M087994664,0,1,17,General
M088003539,1,2,10,General
M088037421,1,2,1,General
M088093394,1,1,14,General
M088095594,0,2,17,VIP
M088099015,0,3,17,General
M088108517,0,2,10,General
M088140274,1,3,10,General
M088163361,0,3,17,General
M088213828,1,2,17,General
M088250721,0,3,10,General
M088279660,0,1,17,General
M088302927,0,2,10,General
M088303198,1,1,12,General
M088335570,1,2,10,VIP
M088393685,0,1,16,MVG-Prestige
M088428266,0,4,17,VIP+
M088465664,0,3,16,MVG-Ace
M088474966,0,3,10,VIP
M088494538,0,3,9,General
M088518930,0,3,15,VIP
M088527191,0,2,11,General
M088537142,0,2,7,VIP
M088543618,0,2,4,General
M088548191,0,2,10,General
M088601576,0,1,15,General
M088607218,0,2,10,General
M088693470,0,2,10,General
M088730886,0,2,4,General
M088757824,1,4,16,General
M088817834,1,1,4,VIP
M088819250,1,2,17,VIP
M088827294,0,2,16,VIP+
M088944243,0,0,17,General
M088950270,1,2,1,General
M088959603,0,2,17,General
M088998311,0,1,17,General
M089064605,0,0,10,General
M089084044,1,2,10,General
M089155813,0,1,16,General
M089194064,0,1,11,VIP
M089232157,1,4,10,General
M089277448,0,3,17,VIP
M089297767,0,1,17,MVG-Ace
M089335876,0,1,10,General
M089340490,1,4,4,General
M089400978,0,2,10,General
M089408006,0,3,17,General
M089494585,0,1,16,VIP+
M089522694,1,4,12,MVG-Ace
M089571746,0,1,16,General
M089655831,0,0,10,General
M089657379,1,3,16,VIP
M089662621,0,3,17,General
M089691184,1,1,5,General
M089706924,1,1,16,VIP+
M089707093,1,1,8,General
M089852002,1,1,17,General
M089884452,0,2,4,General
M089886972,0,2,4,General
M089914432,1,2,10,MVG-Ace
M089963561,0,2,16,General
M090003793,0,2,17,General
M090103343,0,2,10,VIP
M090111379,1,2,17,General
M090139116,0,1,17,General
M090140706,0,2,17,General
M090161378,0,0,17,General
M090162367,1,5,10,VIP
M090162939,0,1,9,General
M090205599,0,2,17,General
M090342043,0,1,11,General
M090454338,0,3,17,General
M090545149,0,3,5,General
M090681581,1,3,17,General
M090737754,0,3,10,General
M090836935,1,2,8,General
M090842806,1,2,8,General
M090844539,0,3,10,General
M090920221,1,2,10,General
M090971384,0,1,10,General
M090973537,0,4,10,General
M090976283,0,2,10,General
M090987057,1,3,16,General
M090987751,0,1,10,General
M091104942,0,1,10,General
M091148136,0,1,17,General
M091206196,0,2,10,VIP
M091233430,0,3,8,VIP
M091318070,1,1,17,General
M091509306,0,3,4,General
M091559503,0,3,10,VIP
M091680940,0,2,17,General
M091734165,0,1,4,General
M091743663,1,2,15,General
M091771738,1,3,17,VIP
M091798885,1,2,16,General
M091830551,0,3,16,VIP
M091857183,0,1,17,General
M091951363,1,3,12,General
M091956106,0,4,10,General
M091959257,1,1,10,General
M092023415,0,4,14,VIP
M092108058,0,1,17,General
M092141630,0,2,17,General
M092178838,0,5,10,General
M092187120,1,0,10,General
M092195285,1,3,17,General
M092217689,0,2,10,General
M092369222,1,1,10,General
M092384314,0,0,3,General
M092438336,0,3,16,General
M092448213,0,2,17,General
M092477799,0,3,13,General
M092499720,0,0,16,General
M092602995,0,0,11,General
M092698791,1,3,17,VIP+
M092736185,0,2,17,VIP+
M092798660,1,0,11,General
M092828946,0,0,10,General
M092899717,1,0,10,General
M092926267,1,2,11,General
M092944142,0,4,17,VIP+
M092944726,0,3,6,General
M093009325,0,3,16,General
M093012030,0,2,17,General
M093016636,0,2,17,VIP
M093087034,0,2,14,General
M093130688,1,2,4,General
M093224061,0,1,10,General
M093303103,0,1,10,General
M093408879,1,1,10,General
M093438893,0,4,17,General
M093454239,0,1,10,VIP
M093484360,0,3,17,General
M093538704,0,2,14,General
M093601826,0,5,10,General
M093743635,1,0,6,General
M093756671,0,3,10,VIP+
M093767688,1,1,16,General
M093815874,0,0,16,General
M093842838,0,3,6,General
M093853678,0,2,1,General
M093869141,0,3,6,General
M093928633,0,2,6,VIP+
M093985737,1,1,12,VIP
M093993002,1,2,17,General
M094055520,0,2,4,General
M094055558,0,2,10,General
M094058512,1,0,11,General
M094084969,0,1,10,General
M094220715,0,1,10,General
M094251585,0,1,11,General
M094328163,0,3,10,General
M094361352,1,1,15,General
M094393422,0,2,16,VIP
M094431328,1,2,16,General
M094482132,0,2,14,General
M094485419,0,1,10,General
M094510882,0,3,17,General
M094542054,0,4,10,General
M094542620,0,0,5,General
M094565793,0,2,17,VIP
M094616845,0,1,13,VIP+
M094658818,0,3,10,General
M094753328,0,3,10,General
M094754636,1,2,6,General
M094765486,1,1,17,VIP+
M094783812,0,2,17,General
M094862251,0,2,17,General
M094922125,0,1,17,General
M094952756,0,1,10,General
M094954825,0,0,16,General
M094960178,0,2,14,General
M094981969,1,0,5,General
M094985406,0,3,11,VIP
M095230471,0,1,11,VIP
M095234941,0,2,12,General
M095241890,0,0,10,General
M095262348,0,2,14,General
M095274948,0,4,10,General
M095302541,0,2,10,General
M095362294,1,3,8,General
M095373508,0,2,16,VIP
M095382117,0,2,13,General
M095387582,0,1,17,General
M095463095,0,1,10,General
M095525166,0,3,17,General
M095531305,1,1,16,General
M095553658,0,4,10,General
M095564259,1,3,17,General
M095598786,0,0,17,General
M095606505,0,1,11,VIP
M095607704,0,2,15,General
M095614782,0,3,17,VIP
M095644108,0,0,10,General
M095670411,0,3,16,VIP+
M095682310,1,1,10,VIP
M095707426,0,2,17,General
M095739614,0,2,10,General
M095755909,0,1,17,MVG-Ace
M095979750,0,4,16,MVG-Ace
M096011522,1,1,9,General
M096093077,0,1,1,General
M096145576,0,2,14,General
M096163881,0,3,4,VIP
M096165702,1,1,17,VIP+
M096179816,1,4,17,General
M096185169,0,2,16,VIP
M096216905,1,2,15,General
M096262906,1,2,11,General
M096281099,0,1,11,General
M096299146,0,2,4,General
M096336404,0,2,11,General
M096475737,1,3,10,General
M096475974,0,1,14,General
M096526374,0,2,5,General
M096531930,1,2,10,General
M096620499,1,1,3,General
M096658473,0,1,17,General
M096750751,1,2,11,General
M096753431,1,1,10,General
M096783613,0,4,17,General
M096811051,1,2,17,General
M096885788,1,0,14,General
M096895236,1,2,10,General
M096899855,0,0,17,General
M096968472,0,3,16,General
M096979200,0,1,17,General
M097015532,1,3,4,General
M097064506,0,2,17,General
M097093871,1,3,1,General
M097123030,0,1,6,General
M097142114,0,1,16,General
M097157467,1,1,17,VIP+
M097192800,1,2,10,VIP
M097194069,0,4,17,General
M097292742,0,0,8,General
M097371615,0,3,17,VIP+
M097387540,0,3,16,General
M097449884,1,2,12,General
M097461033,0,2,10,General
M097524528,1,0,10,General
M097586195,1,2,6,VIP+
M097595988,0,2,17,General
M097675451,0,3,10,General
M097678257,1,1,10,General
M097683766,0,2,10,General
M097743929,0,1,10,General
M097745087,0,1,10,General
M097798368,1,2,14,General
M097831134,0,3,17,General
M097902834,0,2,10,General
M097951608,0,2,12,General
M098090107,0,0,17,General
M098115021,0,2,16,VIP
M098149235,0,4,10,General
M098156439,1,1,17,VIP+
M098219646,0,5,16,VIP+
M098241233,0,1,13,General
M098257025,0,2,13,VIP
M098304496,0,2,17,VIP+
M098324206,0,1,10,VIP+
M098391534,1,3,17,General
M098397809,0,1,9,General
M098414040,1,3,10,VIP
M098470743,0,4,16,General
M098494475,1,0,10,General
M098632645,0,0,17,General
M098635828,0,2,13,MVG-Crown
M098653549,0,3,10,VIP
M098664687,0,2,6,General
M098677397,0,1,3,General
M098691956,1,2,10,LENITH
M098701331,0,2,17,General
M098724865,1,3,16,VIP
M098731471,1,3,17,General
M098731764,0,2,17,General
M098753432,1,1,17,General
M098777464,1,4,14,General
M098852447,0,0,17,VIP+
M098917792,0,0,16,General
M098959142,1,1,10,General
M098963541,1,3,17,General
M099003374,1,1,17,General
M099023546,1,2,4,General
M099044865,0,1,10,General
M099171462,0,4,11,General
M099186943,0,4,10,General
M099196140,0,2,16,VIP+
M099230832,0,2,11,General
M099238879,0,2,14,General
M099376544,0,3,10,General
M099529012,1,1,9,General
M099565082,1,3,10,General
M099584394,0,0,17,General
M099595888,1,2,1,General
M099600671,0,2,17,General
M099614581,1,4,11,General
M099631527,1,1,17,VIP
M099633150,1,1,17,General
M099672964,1,2,6,General
M099683361,0,1,16,General
M099821044,0,3,17,General
M099850556,0,2,10,General
M099855903,1,3,5,General
M099874856,0,1,10,General
M099893281,0,1,8,General
M099969868,0,2,17,General
M099975737,0,2,11,General
M100015515,1,1,10,General
M100033568,0,2,17,General
M100041802,0,2,4,General
M100049790,0,2,10,General
M100079518,0,3,17,General
M100121805,0,2,9,VIP+
M100121885,0,1,10,General
M100130687,0,3,10,General
M100143984,0,1,10,General
M100155632,0,2,10,General
M100165572,0,2,3,General
M100186787,0,1,16,General
M100200476,0,4,10,General
M100208101,0,2,10,General
M100245546,0,1,11,General
M100302431,0,3,10,General
M100313713,0,0,2,General
M100322053,0,4,17,General
M100324729,1,1,14,General
M100396270,1,3,10,VIP+
M100417716,0,3,17,General
M100515769,0,3,17,General
M100539782,0,2,8,General
M100544519,0,4,11,General
M100641973,1,3,17,General
M100687670,0,3,4,General
M100780204,0,1,8,General
M100907158,0,0,17,General
M100924636,0,1,17,General
M100960519,0,0,8,General
M100972133,1,3,17,VIP
M101011119,0,1,17,General
M101075302,0,3,9,General
M101158942,0,5,4,General
M101169628,0,3,17,VIP
M101174827,0,1,10,General
M101205688,1,2,11,VIP
M101214364,0,0,10,General
M101232879,0,1,10,General
M101318952,0,2,17,General
M101334560,1,4,13,General
M101344975,1,3,10,General
M101356346,1,3,8,General
M101361458,0,0,10,General
M101430405,0,2,3,General
M101556231,0,3,17,VIP
M101616705,0,2,16,VIP
M101682931,1,1,10,VIP
M101699059,0,1,4,General
M101707311,0,3,17,VIP
M101783065,0,2,16,General
M101833098,0,2,11,VIP
M101896036,1,3,17,General
M102014201,0,2,3,General
M102038250,1,3,10,General
M102039313,0,2,13,General
M102099624,1,2,6,VIP+
M102123825,0,1,17,General
M102185138,0,2,6,General
M102233704,0,1,17,VIP
M102258228,0,2,8,General
M102283139,0,2,10,General
M102286490,0,2,14,General
M102300628,0,3,17,General
M102394093,1,2,10,General
M102452354,1,2,17,General
M102468929,0,3,16,VIP
M102498630,0,4,16,General
M102523286,0,0,17,General
M102525852,1,2,17,VIP+
M102536951,0,0,10,VIP
M102548228,1,1,17,General
M102791421,0,1,17,General
M102833417,0,2,3,General
M102841111,0,1,8,General
M102869629,1,1,1,General
M102891017,1,2,17,General
M102910381,1,2,4,General
M102919777,1,4,4,General
M102921176,0,0,14,General
M102923644,1,2,17,General
M102958944,0,2,10,General
M102967056,0,0,5,General
M103027194,1,4,16,General
M103049256,0,2,15,General
M103059290,1,2,17,General
M103116525,1,2,10,General
M103158722,0,4,17,VIP
M103185094,0,2,17,General
M103284605,0,1,4,General
M103322455,0,1,17,General
M103359898,0,2,10,General
M103390015,0,1,9,General
M103392438,0,3,6,General
M103422017,1,0,10,General
M103459178,1,2,17,General
M103471566,0,3,10,General
M103491454,0,2,10,VIP
M103520662,1,2,6,General
M103564631,0,0,17,General
M103616477,0,3,16,VIP+
M103649386,0,1,11,General
M103664890,1,3,17,VIP+
M103690071,1,2,10,General
M103702960,0,2,3,General
M103733336,0,2,17,General
M103776510,0,0,17,General
M103796136,0,1,13,General
M103840404,0,3,16,General
M103891066,0,1,10,VIP
M103895330,1,3,17,General
M103897322,0,4,11,VIP+
M103904945,0,2,1,General
M103936394,0,2,4,VIP
M103987218,0,1,10,General
M104009286,0,3,9,General
M104026977,0,2,17,General
M104076459,0,2,10,VIP+
M104083315,0,3,10,VIP
M104139172,0,4,10,MVG-Prestige
M104168371,0,2,17,General
M104239758,0,2,6,VIP
M104259011,0,2,10,General
M104280675,0,1,17,General
M104315881,0,0,15,General
M104317411,0,1,17,General
M104341221,1,1,6,General
M104405508,1,5,10,General
M104442218,0,0,10,General
M104474926,1,3,17,General
M104477336,1,2,6,General
M104513029,0,3,10,General
M104547120,0,2,10,General
M104547879,1,3,17,General
